tconst,Title,Season,Episode,imgCount,averageRating,numVotes,startYear,Media,Device
tt7991508,Finestkind (2023),-1.0,-1.0,18,6.4,173,2023,Movie,iPhone
tt6722400,Fast Charlie (2023),-1.0,-1.0,11,9.4,96,2023,Movie,iPhone
tt13651794,May December (2023),-1.0,-1.0,9,7.4,1345,2023,Movie,iPhone
tt19890316,What Happens Later (2023),-1.0,-1.0,25,7.6,14,2023,Movie,iPhone
tt15744298,Freelance (2023),-1.0,-1.0,106,5.3,374,2023,Movie,iPhone
tt3701150,Sick Girl (2023),-1.0,-1.0,1,6.7,63,2023,Movie,iPhone
tt13957560,Dumb Money (2023),-1.0,-1.0,3,7.1,8261,2023,Movie,iPhone
tt22375620,The Slumber Party (2023),-1.0,-1.0,12,5.7,363,2023,Movie,iPhone
tt13405810,Quiz Lady (2023),-1.0,-1.0,1,7.5,67,2023,Movie,iPhone
tt13650540,If You Were the Last (2023),-1.0,-1.0,3,6.2,753,2023,Movie,iPhone
tt13650540,If You Were the Last (2023),-1.0,-1.0,1,6.2,753,2023,Movie,iPhone
tt18394190,Old Dads (2023),-1.0,-1.0,4,6.3,10462,2023,Movie,iPhone
tt11951276,The Other Zoey (2023),-1.0,-1.0,39,6.0,1926,2023,Movie,iPhone
tt11951276,The Other Zoey (2023),-1.0,-1.0,5,6.0,1926,2023,Movie,iPhone
tt11951276,The Other Zoey (2023),-1.0,-1.0,1,6.0,1926,2023,Movie,iPhone
tt19369162,The Puppetman (2023),-1.0,-1.0,3,5.3,907,2023,Movie,iPhone
tt3291150,The Expendables 4 / Expend4bles (2023),-1.0,-1.0,1,4.9,19149,2023,Movie,iPhone
tt9603212,Mission: Impossible - Dead Reckoning Part One (2023),-1.0,-1.0,6,7.8,169136,2023,Movie,iPhone
tt11908172,The Kill Room (2023),-1.0,-1.0,23,5.4,1541,2023,Movie,iPhone
tt11908172,The Kill Room (2023),-1.0,-1.0,6,5.4,1541,2023,Movie,iPhone
tt16304446,Fair Play (2023),-1.0,-1.0,4,6.5,20192,2023,Movie,iPhone
tt12143990,The Re-Education of Molly Singer (2023),-1.0,-1.0,3,6.3,2165,2023,Movie,iPhone
tt13274016,Reptile (2023),-1.0,-1.0,5,6.8,50865,2023,Movie,iPhone
tt21103300,My Big Fat Greek Wedding 3 (2023),-1.0,-1.0,4,5.2,4495,2023,Movie,iPhone
tt21103300,My Big Fat Greek Wedding 3 (2023),-1.0,-1.0,25,5.2,4495,2023,Movie,iPhone
tt21103300,My Big Fat Greek Wedding 3 (2023),-1.0,-1.0,11,5.2,4495,2023,Movie,iPhone
tt21103300,My Big Fat Greek Wedding 3 (2023),-1.0,-1.0,10,5.2,4495,2023,Movie,iPhone
tt21103300,My Big Fat Greek Wedding 3 (2023),-1.0,-1.0,34,5.2,4495,2023,Movie,iPhone
tt11952084,Who Are You People (2023),-1.0,-1.0,10,5.1,282,2023,Movie,iPhone
tt9362930,Blue Beetle (2023),-1.0,-1.0,10,6.1,56100,2023,Movie,iPhone
tt21232992,Theater Camp (2023),-1.0,-1.0,2,7.1,9375,2023,Movie,iPhone
tt14483774,Shortcomings (2023),-1.0,-1.0,4,6.5,1729,2023,Movie,iPhone
tt15428940,Jules (2023),-1.0,-1.0,13,6.7,4924,2023,Movie,iPhone
tt8452344,Sitting in Bars with Cake (2023),-1.0,-1.0,7,6.4,2024,2023,Movie,iPhone
